Protocol,Channel,P_Noise,F_Eve,Trial,Metric_Name,Metric,SKR,Alarm,Detection_Outcome,N,n_sift,m,n_key,Q,leak_EC
E91,Ideal_0%,0.0,0.7,130,CHSH_S,1.9678927179476058,0.0,1,0,8192,1834,917,917,0.14394765539803708,283
E91,Ideal_0%,0.0,0.7,131,CHSH_S,1.9345289496423055,0.0,1,0,8192,1900,950,950,0.1436842105263158,281
E91,Ideal_0%,0.0,0.7,132,CHSH_S,1.7737462332483602,0.0,1,0,8192,1834,917,917,0.14558342420937842,280
E91,Ideal_0%,0.0,0.7,133,CHSH_S,1.8739037739471214,0.0,1,0,8192,1735,868,867,0.14985590778097982,237
E91,Ideal_0%,0.0,0.7,134,CHSH_S,1.8434994143345782,0.0,1,0,8192,1828,914,914,0.1526258205689278,271
E91,Ideal_0%,0.0,0.7,135,CHSH_S,1.9489911263430293,0.0,1,0,8192,1854,927,927,0.12891046386192018,293
E91,Ideal_0%,0.0,0.7,136,CHSH_S,1.8138301785738216,0.0,1,0,8192,1829,914,915,0.15199562602515035,283
E91,Ideal_0%,0.0,0.7,137,CHSH_S,1.824852914266948,0.0,1,0,8192,1870,935,935,0.14705882352941177,279
E91,Ideal_0%,0.0,0.7,138,CHSH_S,1.9085821318202534,0.0,1,0,8192,1872,936,936,0.14957264957264957,279
E91,Ideal_0%,0.0,0.7,139,CHSH_S,1.811872362740551,0.0,1,0,8192,1789,894,895,0.1520402459474567,277
E91,Ideal_0%,0.0,0.7,140,CHSH_S,1.8308335560859987,0.0,1,0,8192,1785,892,893,0.142296918767507,280
E91,Ideal_0%,0.0,0.7,141,CHSH_S,1.8497112866714105,0.0,1,0,8192,1762,881,881,0.1452894438138479,252
E91,Ideal_0%,0.0,0.7,142,CHSH_S,1.777425786162336,0.0,1,0,8192,1876,938,938,0.15831556503198294,299
E91,Ideal_0%,0.0,0.7,143,CHSH_S,1.8330546409592519,0.0,1,0,8192,1797,898,899,0.14858096828046743,271
E91,Ideal_0%,0.0,0.7,144,CHSH_S,1.8101937626715257,0.0,1,0,8192,1868,934,934,0.145610278372591,287
E91,Ideal_0%,0.0,0.7,145,CHSH_S,1.8343530988166266,0.0,1,0,8192,1884,942,942,0.15127388535031847,274
E91,Ideal_0%,0.0,0.7,146,CHSH_S,1.8222638317716375,0.0,1,0,8192,1791,896,895,0.13679508654383027,277
E91,Ideal_0%,0.0,0.7,147,CHSH_S,1.7727301719791941,0.0,1,0,8192,1781,890,891,0.15496911847276812,247
E91,Ideal_0%,0.0,0.7,148,CHSH_S,1.8372976921455482,0.0,1,0,8192,1780,890,890,0.1303370786516854,253
E91,Ideal_0%,0.0,0.7,149,CHSH_S,1.7816775673874499,0.0,1,0,8192,1841,920,921,0.14502987506789788,287
