Protocol,Sweep,Config_Profile,Config_Point,Metric_Name,N_Trials,Running_Mean,Running_SE
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,50,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,100,0.98,0.014070529413628968
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,200,0.96,0.013891177924157583
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,10,0.17410842064765156,0.00542513013156882
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,25,0.17100626691761137,0.0030120913605253792
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,50,0.16879573943782017,0.0023560364828744576
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,100,0.16638063015270926,0.0017322910490260347
Six-State,sweep_a,Ideal_0%,f=0.5,QBER,200,0.16575263413729366,0.0014513102750357808
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,SKR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,10,0.3,0.15275252316519464
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,25,0.36,0.09797958971132713
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,50,0.4,0.06998542122237651
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,100,0.48,0.05021167315686782
Six-State,sweep_a,Ideal_0%,f=0.5,FNR,200,0.505,0.035442288003096976
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,10,0.1947222217276485,0.004984927686967248
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,25,0.19453871307272358,0.0034057668103303186
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,50,0.1954719245930046,0.0024311732332146325
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,100,0.1973582264397072,0.0019475512811527734
Six-State,sweep_a,Ideal_0%,f=0.6,QBER,200,0.19852453203971016,0.0014144507443642716
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,SKR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,50,0.02,0.02
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,100,0.03,0.01714466079977653
Six-State,sweep_a,Ideal_0%,f=0.6,FNR,200,0.045,0.014695399751940973
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,10,0.23296292275049124,0.006474927959832373
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,25,0.22529567693248229,0.004036862412899218
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,50,0.22809427619493544,0.0031248445205795954
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,100,0.23119916132675905,0.0023698452691963815
Six-State,sweep_a,Ideal_0%,f=0.7,QBER,200,0.23010876487541612,0.001635522511432712
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,SKR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.7,FNR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,10,0.27246267243818695,0.008245299041285027
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,25,0.2690015929559115,0.004766609840081311
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,50,0.27129234330054414,0.0034533811087171023
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,100,0.26988737308594074,0.0025265664853179747
Six-State,sweep_a,Ideal_0%,f=0.8,QBER,200,0.2684610112370632,0.001712669964942281
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,SKR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.8,FNR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,10,0.3012261699224464,0.006354018540037908
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,25,0.3097206253878073,0.00492894811769807
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,50,0.3076478201561715,0.0030559878758568515
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,100,0.3055687568542504,0.0023199922468577715
Six-State,sweep_a,Ideal_0%,f=0.9,QBER,200,0.3020573701948876,0.0017386148018564394
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,SKR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,FNR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,FNR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,FNR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.9,FNR,100,0.0,0.0
