Protocol,Noise_Profile,F_Eve,QBER_Threshold,CHSH_Threshold,Mean_Metric,Std_Metric,Mean_SKR,Std_SKR,FPR,FNR
Six-State,Ideal_0%,0.8,0.11,N/A,0.2658241324176723,0.019133740486487076,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,1.0,0.11,N/A,0.33021231155626807,0.028352158711297926,0.0,0.0,0.0,0.0
Six-State,Noise_2%,0.0,0.11,N/A,0.020832558629314404,0.007903111188882865,0.23789378635052988,0.0315755753843896,0.0,0.0
Six-State,Noise_2%,0.2,0.11,N/A,0.08606922498509986,0.014101517032344569,0.052306300513427766,0.03280412030088752,0.0,0.98
Six-State,Noise_2%,0.4,0.11,N/A,0.14383875088603323,0.019670872485656965,0.000699151277581769,0.0033097865376797435,0.0,0.06
Six-State,Noise_2%,0.6,0.11,N/A,0.20978746761905118,0.02014846784670534,0.0,0.0,0.0,0.0
Six-State,Noise_2%,0.8,0.11,N/A,0.27744789639145856,0.021147074136082498,0.0,0.0,0.0,0.0
Six-State,Noise_2%,1.0,0.11,N/A,0.33994898506026705,0.02362639958946316,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.0,0.11,N/A,0.050876433602940384,0.010381118630832492,0.141626067237772,0.03157098022473532,0.0,0.0
Six-State,Noise_5%,0.2,0.11,N/A,0.10658524934908616,0.01638687582913828,0.01794223167023133,0.02231891394568217,0.0,0.58
Six-State,Noise_5%,0.4,0.11,N/A,0.16859522696513987,0.023466170879874387,0.00028207654706812884,0.0019745358294769016,0.0,0.02
Six-State,Noise_5%,0.6,0.11,N/A,0.23236129505949074,0.022809829124393093,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.8,0.11,N/A,0.2894004016184739,0.022066983763851036,0.0,0.0,0.0,0.0
Six-State,Noise_5%,1.0,0.11,N/A,0.34831211009949575,0.026514868449981903,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.0,0.11,N/A,0.08224612155658523,0.014917506915146162,0.061905734003846226,0.03337529685866565,0.04,0.0
Six-State,Noise_8%,0.2,0.11,N/A,0.13284640546283882,0.018086248321533584,0.0013966875794930366,0.0057640723267004205,0.0,0.08
Six-State,Noise_8%,0.4,0.11,N/A,0.19026723942520665,0.020182177086606835,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.6,0.11,N/A,0.2501591489306405,0.023681344975388107,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.8,0.11,N/A,0.3065954625675431,0.025666409983268544,0.0,0.0,0.0,0.0
Six-State,Noise_8%,1.0,0.11,N/A,0.36094816997784335,0.02678628565064404,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,0.0,0.11,N/A,0.11015694726653354,0.020075568331512677,0.016420152122976827,0.025294019418771865,0.46,0.0
Six-State,Threshold_11%,0.2,0.11,N/A,0.1605195962692373,0.018270724476234134,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,0.4,0.11,N/A,0.21053621283215623,0.021028534625033443,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,0.6,0.11,N/A,0.2645601034563667,0.019786813440569935,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,0.8,0.11,N/A,0.3149818218832809,0.02369067054389662,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,1.0,0.11,N/A,0.36530165301363177,0.026255309628276928,0.0,0.0,0.0,0.0
Six-State,IBM_Marrakesh,0.0,0.11,N/A,0.0035994352123384383,0.009733648559504371,0.31755428028876703,0.054513635235765086,0.0,0.0
Six-State,IBM_Marrakesh,0.25,0.11,N/A,0.08301743955765764,0.03445528920666494,0.07485799035351894,0.07634954122233037,0.0,0.8
Six-State,IBM_Marrakesh,0.5,0.11,N/A,0.17449396527734218,0.04337890201757144,0.0014522589449974148,0.007820653761446363,0.0,0.03333333333333333
Six-State,IBM_Marrakesh,0.75,0.11,N/A,0.26382928535637756,0.047846189996748334,0.0,0.0,0.0,0.0
Six-State,IBM_Marrakesh,1.0,0.11,N/A,0.32308756090638036,0.06215893170148304,0.0,0.0,0.0,0.0
E91,Ideal_0%,0.0,N/A,2.6586,2.8280023280437963,0.04602918836820412,0.22116455078125,0.003663678862897247,0.0,0.0
